dataset	plr_error	target_entries	inputs	truth_unique	merged_entries	merged_rank_min	merged_rank_max	outputs	split_entries	capacity_bad_files	sibling_overlap_pairs	materialized_unique	local_duplicate_keys	identity_missing	identity_extra	truth_outside_output_ranges	range_count_bad_files	range_entries_sum	bucket_overlap_pairs	retained_unique_samples
random_8	0	2	3	57	57	0	57	29	57	0	3	54	0	16	13	7	10	53	0	50
random_8	0	7	3	57	57	0	57	9	57	1	0	55	2	16	14	2	5	56	1	55
random_8	0	16	3	57	57	0	57	4	57	0	0	57	0	16	16	0	3	57	0	57
random_8	8	2	3	57	57	0	57	29	57	1	0	56	1	23	22	12	21	46	1	45
random_8	8	7	3	57	57	0	57	9	57	0	0	56	1	23	22	5	6	52	0	52
random_8	8	16	3	57	57	0	57	4	57	0	0	57	0	23	23	1	2	56	0	56
gapped_8	0	2	3	57	57	0	57	29	57	3	3	51	3	6	0	2	4	61	3	55
gapped_8	0	7	3	57	57	0	57	9	57	0	2	55	0	4	2	1	5	58	0	56
gapped_8	0	16	3	57	57	0	57	4	57	0	0	57	0	3	3	0	2	57	0	57
gapped_8	8	2	3	57	57	0	57	29	57	0	1	56	0	49	48	18	26	40	0	39
gapped_8	8	7	3	57	57	0	57	9	57	0	1	56	0	49	48	11	9	47	0	46
gapped_8	8	16	3	57	57	0	57	4	57	0	0	57	0	48	48	5	4	52	0	52
random_9	0	2	3	58	58	0	58	29	58	0	0	58	0	21	21	9	13	49	0	49
random_9	0	7	3	58	58	0	58	9	58	0	0	58	0	21	21	4	7	54	0	54
random_9	0	16	3	58	58	0	58	4	58	0	0	58	0	21	21	0	2	58	0	58
random_9	8	2	3	58	58	0	58	29	58	0	0	58	0	28	28	15	18	43	0	43
random_9	8	7	3	58	58	0	58	9	58	0	0	58	0	28	28	6	5	52	0	52
random_9	8	16	3	58	58	0	58	4	58	0	0	58	0	28	28	2	3	56	0	56
gapped_9	0	2	3	58	58	0	58	29	58	3	2	53	3	5	0	1	4	62	3	57
gapped_9	0	7	3	58	58	0	58	9	58	0	0	57	1	5	4	1	3	57	0	57
gapped_9	0	16	3	58	58	0	58	4	58	0	0	57	1	5	4	0	2	58	0	58
gapped_9	8	2	3	58	58	0	58	29	58	0	0	58	0	48	48	23	26	35	0	35
gapped_9	8	7	3	58	58	0	58	9	58	0	0	58	0	48	48	13	8	45	0	45
gapped_9	8	16	3	58	58	0	58	4	58	0	0	58	0	48	48	9	4	49	0	49
