run,mode,ts,start_level,output_level,n_inputs_total,n_inputs_start,n_inputs_next,n_outputs,input_entries,reason
baseline_run1,baseline,2026/04/15-06:35:44.091751,0,1,4,4,0,,263098676,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:44.491547,0,1,4,4,0,,263108689,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:44.874907,0,1,4,4,0,,263100731,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:45.271174,0,1,4,4,0,,263077965,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:45.670622,0,1,4,4,0,,263116130,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:46.140338,0,1,4,4,0,,263095777,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:46.698669,0,1,4,4,0,,263108748,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:47.093882,0,1,7,7,0,,1643707612,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:49.455111,0,1,4,4,0,,263116297,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:49.851162,0,1,4,4,0,,263104605,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:50.231516,0,1,4,4,0,,263094501,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:50.699771,0,1,4,4,0,,263089747,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:51.292627,0,1,4,4,0,,263102572,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:51.664638,0,1,6,6,0,,1380778326,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:52.321767,1,2,4,3,1,,486890438,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.321768,1,2,3,2,1,,358113396,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.322286,1,2,4,3,1,,502448008,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.322287,2,3,2,1,1,,166089945,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.322339,2,3,2,1,1,,165244336,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.322356,2,3,3,1,2,,267451869,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.322567,2,3,3,1,2,,270066065,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.322569,2,3,3,1,2,,268513612,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.322704,2,3,3,1,2,,270065952,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.322795,2,3,4,1,3,,282127710,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.323009,2,3,4,1,3,,325773268,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.323020,2,3,4,1,3,,311767847,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.323029,2,3,4,1,3,,331088371,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.323030,2,3,4,1,3,,308259791,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.323031,2,3,4,1,3,,334959724,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.323035,2,3,4,1,3,,336141940,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.323162,2,3,5,1,4,,354452173,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.323214,2,3,5,1,4,,366120672,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.323328,2,3,5,1,4,,404588918,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.323329,2,3,5,1,4,,405102432,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.323429,2,3,6,1,5,,418892947,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.323442,2,3,6,1,5,,435212674,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.427082,0,1,4,4,0,,263101646,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:52.828459,0,1,4,4,0,,263066190,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:52.974623,2,3,2,1,1,,176657407,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:52.974623,2,3,3,2,1,,311340324,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:53.175921,2,3,4,2,2,,331044655,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:53.175934,2,3,4,1,3,,332345511,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:53.175935,2,3,2,1,1,,202546904,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:53.201299,0,1,4,4,0,,263119164,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:53.214828,2,3,3,1,2,,263756885,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:53.214828,2,3,5,1,4,,341353186,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:53.214829,2,3,4,1,3,,334627481,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:53.214830,2,3,2,1,1,,202547038,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:35:53.599118,0,1,4,4,0,,263065782,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:53.983916,0,1,4,4,0,,263108900,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:54.344132,0,1,30,11,19,,6683928891,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:54.672528,0,1,4,4,0,,263098713,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:55.063768,0,1,4,4,0,,263116156,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:55.448768,0,1,4,4,0,,263077720,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:55.919799,0,1,4,4,0,,263113909,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:56.502728,0,1,4,4,0,,263119158,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:56.875785,0,1,6,6,0,,1380687540,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:58.895148,0,1,4,4,0,,263121041,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:59.301596,0,1,4,4,0,,263121106,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:35:59.769332,0,1,4,4,0,,263114242,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:00.366345,0,1,4,4,0,,263111865,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:00.752723,0,1,5,5,0,,1117811843,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:02.471577,0,1,4,4,0,,263123471,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:02.969861,0,1,4,4,0,,263117245,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:03.580045,0,1,4,4,0,,263125650,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:03.972544,0,1,4,4,0,,854737128,LevelL0FilesNum
baseline_run1,baseline,2026/04/15-06:36:04.646959,1,2,2,1,1,,94285267,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.647081,1,2,2,1,1,,128532312,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.647084,1,2,2,1,1,,141460475,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.647082,1,2,2,1,1,,176217155,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.647168,1,2,2,1,1,,213414616,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.647174,1,2,2,1,1,,127435301,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.647742,2,3,3,1,2,,270070703,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.647941,2,3,3,1,2,,267540474,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.647983,2,3,3,1,2,,267597511,LevelMaxLevelSize
baseline_run1,baseline,2026/04/15-06:36:04.648251,2,3,4,1,3,,278952294,LevelMaxLevelSize
