kv_size	system	bin_lower_bytes	bin_upper_exclusive_bytes	bin_lower_MiB	bin_upper_MiB	n_load_runs	n_jobs	mean_input_bytes	mean_input_MiB	mean_input_files	mean_output_files	mean_elapsed_ms	median_elapsed_ms	p90_elapsed_ms	stddev_elapsed_ms	cumulative_job_seconds	mean_read_ms	mean_write_ms	mean_merge_ms	mean_compress_ms	mean_decompress_ms	mean_sst_build_ms	mean_other_ms	mean_gather_ms	mean_split_ms	mean_diagnostics_ms	mean_mutex_wait_ms	mean_build_edit_ms	mean_commit_queue_wait_ms	mean_commit_after_queue_ms
91B	comp	134217728	268435456	128.0	256.0	1	19708	192254242.0682464	183.3479328806366	2.99715851430891	3.1729754414450984	1201.5733070326771	1158.2435	1592.6135	253.00608462349606	23680.60673500015	48.061499695555106	96.42846184290643	428.51673361071647	0.0	0.0	467.5106456261417	161.05596625735743							
91B	comp	268435456	536870912	256.0	512.0	1	20017	368058395.01938355	351.00783826769214	5.777888794524654	5.6031872908028175	2268.161652495379	2271.174	2699.5508	334.0856238738424	45401.79179799978	89.54002642753659	186.8144516161263	808.8082051256432	0.0	0.0	882.4980634960284	300.5009058300445							
91B	comp	536870912	1073741824	512.0	1024.0	1	248	613449469.9758065	585.0310039289536	8.475806451612904	8.94758064516129	3737.2369314516127	3560.2105	4466.092000000001	508.6148739459155	926.834759	139.5026491935484	311.7360080645161	1321.381939516129	0.0	0.0	1465.3607096774194	499.255625							
91B	comp	1073741824	2147483648	1024.0	2048.0	1	211	1745566232.5402844	1664.701683559689	13.27962085308057	26.033175355450236	10810.298843601895	11123.735	12732.046	1555.0530003581378	2280.9730560000007	367.7617488151659	876.5889052132701	4004.482691943128	0.0	0.0	4145.215966824645	1416.2495308056873							
91B	comp	2147483648	4294967296	2048.0	4096.0	1	488	2749708333.038934	2622.326214827475	23.438524590163933	38.557377049180324	17394.452477459017	16556.376	22177.2262	3133.8835347142667	8488.492809000003	546.2826045081968	1316.9373278688524	6775.932024590164	0.0	0.0	6529.715715163935	2225.5848053278687							
91B	comp	4294967296	8589934592	4096.0	8192.0	1	25	4743294497.88	4523.558137779236	32.96	53.36	30192.251800000002	30359.108	32871.394400000005	2168.3322710698467	754.806295	919.87412	2173.5322	12002.96392	0.0	0.0	11282.48648	3813.3950800000002							
91B	vcomp	262144	524288	0.25	0.5	1	1	273717	0.26103687286376953	2	1	3.247659	3.247659	3.247659		0.003247659			0.025627				0.286568	0.001659	0.013582	0.000131	0.614952	0.002478	0.735249	1.567413
91B	vcomp	524288	1048576	0.5	1.0	1	2	785733	0.749333381652832	2	1	5.93514	5.93514	8.116640799999999	3.856385022109696	0.011870279999999999			0.023557				0.7030810000000001	0.00165	0.013478500000000001	0.007209999999999999	2.5202394999999997	0.0026555	1.2734139999999998	1.3898545
91B	vcomp	1048576	2097152	1.0	2.0	1	3	1650506.3333333333	1.5740454991658528	2	1	7.019580666666667	2.135765	14.473429000000003	9.134535027825793	0.021058742000000002			0.025705				0.8068473333333334	0.0015993333333333332	0.013395666666666667	0.004301	1.32538	0.0025466666666666667	0.8158126666666666	4.023993
91B	vcomp	2097152	4194304	2.0	4.0	1	6	3154956.5	3.008800983428955	2	1	9.351373166666667	9.007121	14.0879575	4.313549665034977	0.056108239			0.03212633333333333				0.8940963333333334	0.0020913333333333335	0.015617166666666666	0.006322	2.6128751666666665	0.0037188333333333335	2.977848	2.806678
91B	vcomp	4194304	8388608	4.0	8.0	1	14	6696298.714285715	6.38608809879848	2	1	9.416958285714285	8.130866000000001	14.1169288	3.658464247435326	0.131837416			0.03919792857142857				1.3093994285714285	0.002093357142857143	0.019713357142857144	0.004328142857142857	2.6100276428571427	0.004171142857142857	1.9706987142857142	3.4573285714285715
91B	vcomp	8388608	16777216	8.0	16.0	1	24	12820307.125	12.226397633552551	2	1	7.419542708333333	5.354986	15.7675134	4.9492563226544535	0.17806902500000005			0.053937291666666665				1.0923899166666666	0.002405625	0.025143416666666668	0.004780875	1.99336875	0.003585416666666667	1.5690439166666668	2.6748875
91B	vcomp	16777216	33554432	16.0	32.0	1	76	24422157.61842105	23.290784471913387	2.013157894736842	1	8.515022684210527	7.417263999999999	15.5672985	5.275321543998359	0.647141724			0.07588307894736843				1.3537683157894738	0.0021818552631578947	0.03504492105263158	0.0029112894736842104	1.8450954078947368	0.0036894736842105263	1.9176463289473684	3.2788020131578945
91B	vcomp	33554432	67108864	32.0	64.0	1	416	55827102.754807696	53.240874056632705	2.0216346153846154	1.1153846153846154	9.058509461538462	7.8193545	16.3961095	5.620114336295886	3.7683399359999994			0.12543633413461538				1.2183345913461539	0.004022685096153846	0.05797014663461538	0.00126103125	1.9866255144230769	0.004292132211538462	2.226774110576923	3.433792915865385
91B	vcomp	67108864	134217728	64.0	128.0	1	9541	109411673.99947594	104.3431034083137	2.0899276805366314	2.031862488208783	9.11131065464836	7.447364	16.717735	12.095293664528382	86.93101495600048			0.28101348139608007				1.6867690794465988	0.002403185095901897	0.1395848097683681	0.0007631454774132691	1.992030091919086	0.008030306571638193	2.08876573042658	2.911950824546693
91B	vcomp	134217728	268435456	128.0	256.0	1	20963	197910025.22267807	188.7417080141812	3.2218193960788053	3.3189906024901017	9.289591265038402	7.789721	16.8125784	11.404320129180668	194.73770168900094			0.4210736545341793				1.5023166905977199	0.002587448981538902	0.20987406163239994	0.0012624870009063588	1.8543976159423747	0.01192486728998712	2.1662378058483998	3.119916633210895
91B	vcomp	268435456	536870912	256.0	512.0	1	19921	364574479.2909995	347.68531731700847	5.825962552080719	5.684152401987852	9.78953841313187	8.157258	17.965037	6.882362351740925	195.01739472799935			0.5682341605341097				1.2428313156970032	0.0034514921439686764	0.2875871322724763	0.0013531209778625572	1.6272762704683499	0.02073993524421465	2.3799544706089053	3.6581105151849806
91B	vcomp	536870912	1073741824	512.0	1024.0	1	275	627510026.0945455	598.4401951737838	8.450909090909091	9.378181818181819	10.991404618181818	8.996309	19.101913999999997	7.366258833401062	3.022636270000001			1.20014684				1.6312981163636364	0.004263330909090909	0.6325665272727272	0.0029019345454545454	1.5311073018181818	0.04242076	2.4472591236363637	3.499440683636364
91B	vcomp	1073741824	2147483648	1024.0	2048.0	1	138	1879435534.9130435	1792.3693989878116	25.942028985507246	28.434782608695652	28.391977739130436	26.0471565	37.5955475	8.96642590360171	3.918092928000002			11.211455369565217				2.584279101449275	0.006229855072463768	6.687305731884058	0.00016993478260869565	0.8209635579710145	0.1678687391304348	1.3675977391304348	5.546107710144928
91B	vcomp	2147483648	4294967296	2048.0	4096.0	1	546	3263351031.6318684	3112.174064285153	42.22527472527472	41.22527472527472	40.52070324908425	37.133763	49.631349	28.586024920224933	22.12430397399998			16.688166166666665				6.086443432234432	0.00699260989010989	9.57960047069597	0.00017849816849816849	0.7320182271062271	0.26627215934065934	1.2163978333333334	5.9446338516483515
