system	arm	workload	window_sec	start_sec_exclusive	end_sec_inclusive	sample_count	mean_nominal_qps	min_nominal_qps	max_nominal_qps
baseline	r01	B	30	120	150	30	1076273.7	991798	1172653
baseline	r01	B	30	150	180	30	1052059.8666666667	729380	1212112
baseline	r01	B	30	180	210	30	999383.2	683843	1182074
baseline	r01	B	30	210	240	30	1077657.2666666666	706532	1220789
baseline	r01	B	30	240	270	30	1046852.7666666667	712882	1224595
baseline	r01	B	30	270	300	30	1084181.2333333334	894822	1182120
baseline	r01	B	60	0	60	60	993357.7333333333	633206	1216583
baseline	r01	B	60	60	120	60	1000131.2666666667	676875	1167745
baseline	r01	B	60	120	180	60	1064166.7833333334	729380	1212112
baseline	r01	B	60	180	240	60	1038520.2333333333	683843	1220789
baseline	r01	B	60	240	300	60	1065517	712882	1224595
baseline	r02	B	30	0	30	30	1006266.7333333333	726247	1231119
baseline	r02	B	30	30	60	30	993054.5	714846	1179119
baseline	r02	B	30	60	90	30	1038941.3	778083	1254373
baseline	r02	B	30	90	120	30	971193.4666666667	660562	1146576
baseline	r02	B	30	120	150	30	986153.0666666667	689393	1204699
baseline	r02	B	30	150	180	30	1046742.9333333333	764992	1188346
baseline	r02	B	30	180	210	30	1097578.2	918779	1232027
baseline	r02	B	30	210	240	30	1094619.7	1021990	1199357
baseline	r02	B	30	240	270	30	978427.9666666667	716007	1215297
baseline	r02	B	30	270	300	29	1103273.5862068965	942853	1236220
baseline	r02	B	60	0	60	60	999660.6166666667	714846	1231119
baseline	r02	B	60	60	120	60	1005067.3833333333	660562	1254373
baseline	r02	B	60	120	180	60	1016448	689393	1204699
baseline	r02	B	60	180	240	60	1096098.95	918779	1232027
baseline	r02	B	60	240	300	59	1039792.7627118644	716007	1236220
baseline	run3	B	30	0	30	30	1033259.2333333333	778175	1250544
baseline	run3	B	30	30	60	30	973424.0666666667	553310	1276296
baseline	run3	B	30	60	90	30	976373.9333333333	645848	1154887
baseline	run3	B	30	90	120	30	908585.3	663761	1094046
