system	arm	workload	process_start_utc	process_end_utc	measured_throughput_ops_s	reporter_sample_count	reporter_last_sec	qps_mean_0_60_sec	qps_mean_60_120_sec	qps_mean_120_180_sec	qps_mean_180_240_sec	qps_mean_240_300_sec	qps_mean_60_300_sec	qps_median_60_300_sec	qps_CV_pct_60_300_sec	one_sec_samples_below_90pct_own_steady_median	steady_samples
baseline	r01	D	2026-09-10T17:51:29.893002+00:00	2026-09-10T17:56:34.712949+00:00	2666014.0	300	300	2491934.6666666665	2756371.1	2696187.7333333334	2713575.65	2673174.3666666667	2709827.2125	2704496.5	1.6625059413972731	0	240
baseline	r02	D	2026-09-10T18:33:52.833351+00:00	2026-09-10T18:38:57.678864+00:00	2658741.0	300	300	2447578.1166666667	2743875.0833333335	2730101.9	2708677.5166666666	2664722	2711844.125	2713338.5	1.6918547793579157	0	240
baseline	run3	D	2026-09-10T19:15:34.704761+00:00	2026-09-10T19:20:39.522004+00:00	2624828.0	300	300	2384411.25	2710000.4833333334	2687027.466666667	2694628.6	2649496.8833333333	2685288.3583333334	2686319.5	1.4614639192389691	0	240
f2load	f01	D	2026-09-11T02:58:55.171830+00:00	2026-09-11T03:03:59.832855+00:00	2643045.0	300	300	2490358.7666666666	2736266.5166666666	2677031.6	2664389.6666666665	2648384.066666667	2681517.9625	2672189.0	1.738722736906451	0	240
f2load	f02	D	2026-09-11T03:31:04.472653+00:00	2026-09-11T03:36:09.165683+00:00	2649383.0	300	300	2461893.966666667	2725647.8	2719338.3333333335	2693257.283333333	2647837.65	2696520.2666666666	2697872.5	1.7397583390002869	0	240
f2load	f03	D	2026-09-11T04:03:15.742339+00:00	2026-09-11T04:08:20.387810+00:00	2646143.0	300	300	2480177.216666667	2757195.4	2684093.4166666665	2652297.15	2658008.4	2687898.591666667	2673677.5	1.991552839200737	0	240
f2load	f04	D	2026-09-11T04:35:40.029443+00:00	2026-09-11T04:40:44.627737+00:00	2699250.0	300	300	2560645.9	2796848.033333333	2719342.6166666667	2729141	2691485.316666667	2734204.2416666667	2726277.5	1.9101220341982064	0	240
f2load	f05	D	2026-09-11T05:07:50.381283+00:00	2026-09-11T05:12:54.990395+00:00	2653919.0	300	300	2499606.2	2731022.216666667	2682304.4833333334	2698422.183333333	2659335.55	2692771.1083333334	2691007.5	1.6025108201476128	0	240
f2load	f06	D	2026-09-11T21:40:08.414534+00:00	2026-09-11T21:45:13.013431+00:00	2659436.0	300	300	2483654.066666667	2757216	2694905.183333333	2692449.8666666667	2670053.933333333	2703656.245833333	2694837.0	1.6548077495652562	0	240
f2load	f07	D	2026-09-11T22:12:13.279631+00:00	2026-09-11T22:17:17.975349+00:00	2644866.0	299	299	2402743.4833333334	2724807.433333333	2727618.8833333333	2709035.4	2662237.4237288134	2706107.577405858	2705888	1.6262584936770785	0	239
