run,mode,ts,start_level,output_level,n_inputs_total,n_inputs_start,n_inputs_next,n_outputs,input_entries,reason
vcomp_run1,vcomp,2026/04/14-17:10:24.863311,1,2,4,,,4,233187,
vcomp_run1,vcomp,2026/04/14-17:10:24.863599,1,2,4,,,4,259519,
vcomp_run1,vcomp,2026/04/14-17:10:24.863612,1,2,6,,,4,336155,
vcomp_run1,vcomp,2026/04/14-17:10:24.863994,1,2,7,,,7,606977,
vcomp_run1,vcomp,2026/04/14-17:10:24.864538,2,3,2,,,3,148219,
vcomp_run1,vcomp,2026/04/14-17:10:24.864884,2,3,2,,,3,148282,
vcomp_run1,vcomp,2026/04/14-17:10:24.865216,2,3,2,,,3,159620,
vcomp_run1,vcomp,2026/04/14-17:10:24.868776,0,1,8,,,8,503070,
vcomp_run1,vcomp,2026/04/14-17:10:24.869194,1,2,2,,,2,178978,
vcomp_run1,vcomp,2026/04/14-17:10:24.869460,1,2,4,,,5,318791,
vcomp_run1,vcomp,2026/04/14-17:10:24.869753,1,2,5,,,5,425274,
vcomp_run1,vcomp,2026/04/14-17:10:24.869785,1,2,6,,,5,521413,
vcomp_run1,vcomp,2026/04/14-17:10:24.870414,2,3,3,,,5,272175,
vcomp_run1,vcomp,2026/04/14-17:10:24.870877,2,3,2,,,4,239107,
vcomp_run1,vcomp,2026/04/14-17:10:24.874771,0,1,8,,,8,509410,
vcomp_run1,vcomp,2026/04/14-17:10:24.875235,1,2,4,,,4,264772,
vcomp_run1,vcomp,2026/04/14-17:10:24.875508,1,2,4,,,3,273914,
vcomp_run1,vcomp,2026/04/14-17:10:24.875520,1,2,4,,,4,368647,
vcomp_run1,vcomp,2026/04/14-17:10:24.875791,1,2,6,,,5,466804,
vcomp_run1,vcomp,2026/04/14-17:10:24.876310,2,3,3,,,3,158970,
vcomp_run1,vcomp,2026/04/14-17:10:24.876760,2,3,4,,,5,265306,
vcomp_run1,vcomp,2026/04/14-17:10:24.877245,2,3,3,,,5,271239,
vcomp_run1,vcomp,2026/04/14-17:10:24.880750,0,1,8,,,8,487677,
vcomp_run1,vcomp,2026/04/14-17:10:24.881118,1,2,3,,,3,143962,
vcomp_run1,vcomp,2026/04/14-17:10:24.881453,1,2,5,,,5,373343,
vcomp_run1,vcomp,2026/04/14-17:10:24.881761,1,2,6,,,5,444052,
vcomp_run1,vcomp,2026/04/14-17:10:24.881806,1,2,6,,,6,488492,
vcomp_run1,vcomp,2026/04/14-17:10:24.882414,2,3,2,,,3,195169,
vcomp_run1,vcomp,2026/04/14-17:10:24.882966,2,3,3,,,5,304250,
vcomp_run1,vcomp,2026/04/14-17:10:24.886764,0,1,8,,,8,499463,
vcomp_run1,vcomp,2026/04/14-17:10:24.887269,1,2,5,,,5,323402,
vcomp_run1,vcomp,2026/04/14-17:10:24.887586,1,2,5,,,5,465647,
vcomp_run1,vcomp,2026/04/14-17:10:24.887613,1,2,5,,,4,393530,
vcomp_run1,vcomp,2026/04/14-17:10:24.888037,1,2,7,,,6,429660,
vcomp_run1,vcomp,2026/04/14-17:10:24.888530,2,3,2,,,3,151875,
vcomp_run1,vcomp,2026/04/14-17:10:24.888979,2,3,2,,,4,259928,
vcomp_run1,vcomp,2026/04/14-17:10:24.892801,0,1,8,,,9,478830,
vcomp_run1,vcomp,2026/04/14-17:10:24.893146,1,2,2,,,1,7818,
vcomp_run1,vcomp,2026/04/14-17:10:24.893520,1,2,3,,,4,224796,
vcomp_run1,vcomp,2026/04/14-17:10:24.893535,1,2,4,,,4,308667,
vcomp_run1,vcomp,2026/04/14-17:10:24.893565,1,2,4,,,4,277106,
vcomp_run1,vcomp,2026/04/14-17:10:24.894190,1,2,4,,,4,312318,
vcomp_run1,vcomp,2026/04/14-17:10:24.894720,2,3,3,,,4,261297,
vcomp_run1,vcomp,2026/04/14-17:10:24.898808,0,1,8,,,8,518747,
vcomp_run1,vcomp,2026/04/14-17:10:24.899300,1,2,4,,,4,308442,
vcomp_run1,vcomp,2026/04/14-17:10:24.899606,1,2,6,,,6,391028,
vcomp_run1,vcomp,2026/04/14-17:10:24.899916,1,2,6,,,6,571370,
vcomp_run1,vcomp,2026/04/14-17:10:24.900207,1,2,6,,,5,377760,
vcomp_run1,vcomp,2026/04/14-17:10:24.900698,2,3,2,,,2,117507,
vcomp_run1,vcomp,2026/04/14-17:10:24.901408,2,3,6,,,7,428002,
vcomp_run1,vcomp,2026/04/14-17:10:24.904949,0,1,8,,,8,518811,
vcomp_run1,vcomp,2026/04/14-17:10:24.905319,1,2,2,,,1,9475,
vcomp_run1,vcomp,2026/04/14-17:10:24.905645,1,2,5,,,4,292847,
vcomp_run1,vcomp,2026/04/14-17:10:24.905658,1,2,5,,,6,343911,
vcomp_run1,vcomp,2026/04/14-17:10:24.905970,1,2,5,,,4,370401,
vcomp_run1,vcomp,2026/04/14-17:10:24.905997,1,2,5,,,5,491855,
vcomp_run1,vcomp,2026/04/14-17:10:24.906647,2,3,2,,,4,225184,
vcomp_run1,vcomp,2026/04/14-17:10:24.907283,2,3,5,,,7,395196,
vcomp_run1,vcomp,2026/04/14-17:10:24.910855,0,1,7,,,9,507357,
vcomp_run1,vcomp,2026/04/14-17:10:24.911259,1,2,3,,,3,143046,
vcomp_run1,vcomp,2026/04/14-17:10:24.911587,1,2,8,,,5,362971,
vcomp_run1,vcomp,2026/04/14-17:10:24.911967,1,2,8,,,7,484503,
vcomp_run1,vcomp,2026/04/14-17:10:24.912003,1,2,6,,,7,485741,
vcomp_run1,vcomp,2026/04/14-17:10:24.912695,2,3,2,,,4,247691,
vcomp_run1,vcomp,2026/04/14-17:10:24.913030,2,3,2,,,2,113296,
vcomp_run1,vcomp,2026/04/14-17:10:24.913365,2,3,2,,,2,113185,
vcomp_run1,vcomp,2026/04/14-17:10:24.916804,0,1,8,,,8,514933,
vcomp_run1,vcomp,2026/04/14-17:10:24.917268,1,2,2,,,2,180196,
vcomp_run1,vcomp,2026/04/14-17:10:24.917549,1,2,6,,,4,410633,
vcomp_run1,vcomp,2026/04/14-17:10:24.917853,1,2,7,,,7,507676,
vcomp_run1,vcomp,2026/04/14-17:10:24.918161,1,2,5,,,5,371739,
vcomp_run1,vcomp,2026/04/14-17:10:24.918506,1,2,9,,,10,692333,
vcomp_run1,vcomp,2026/04/14-17:10:24.918854,2,3,2,,,2,113984,
vcomp_run1,vcomp,2026/04/14-17:10:24.919165,2,3,3,,,4,250798,
