Linux 5.4.0-216-generic (dskbi001) 	09/11/2026 	_x86_64_	(96 CPU)

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
dm-0           422.60   6595.20     0.00   0.00    0.09    15.61    4.60     18.40     0.00   0.00    0.00     4.00    0.00      0.00     0.00   0.00    0.00     0.00    0.04   5.04
loop0            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop1            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop2            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop3            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop4            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop5            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop6            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
loop7            0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
md0           214416.80 4820414.40     0.00   0.00    0.00    22.48 1593.20 1215929.60     0.00   0.00    0.00   763.20    0.00      0.00     0.00   0.00    0.00     0.00    0.00   0.00
nvme0n1        213.00   6663.20   212.00  49.88    0.09    31.28    0.40     18.40     4.20  91.30    0.00    46.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00   5.04
nvme10n1      6851.40 146367.20    61.00   0.88    0.09    21.36   44.20  36281.60     0.00   0.00    0.35   820.85    0.00      0.00     0.00   0.00    0.00     0.00    0.00  90.64
nvme11n1      6781.40 141856.00    61.60   0.90    0.09    20.92   46.40  36163.20     0.00   0.00    0.31   779.38    0.00      0.00     0.00   0.00    0.00     0.00    0.00  90.56
nvme12n1      6833.60 148320.80    51.80   0.75    0.08    21.70   45.60  35631.20     0.00   0.00    0.18   781.39    0.00      0.00     0.00   0.00    0.00     0.00    0.00  90.88
nvme13n1      6829.00 146593.60    16.60   0.24    0.08    21.47   44.20  35415.20     0.00   0.00    0.34   801.25    0.00      0.00     0.00   0.00    0.00     0.00    0.00  90.64
nvme14n1      6734.00 145539.20    17.60   0.26    0.08    21.61   44.60  36076.80     0.00   0.00    0.18   808.90    0.00      0.00     0.00   0.00    0.00     0.00    0.00  90.72
nvme15n1      6825.60 145437.60    17.60   0.26    0.08    21.31   46.20  37128.80     0.00   0.00    0.34   803.65    0.00      0.00     0.00   0.00    0.00     0.00    0.00  90.64
nvme16n1      6793.40 146144.80    16.20   0.24    0.08    21.51   46.40  37291.20     0.00   0.00    0.18   803.69    0.00      0.00     0.00   0.00    0.00     0.00    0.00  90.64
nvme17n1      6885.60 142382.40    18.60   0.27    0.08    20.68   49.80  38542.40     0.00   0.00    0.31   773.94    0.00      0.00     0.00   0.00    0.00     0.00    0.00  90.64
