Linux 5.4.0-216-generic (dskbi001) 	09/11/2026 	_x86_64_	(96 CPU)

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
nvme28n1       214.42  12582.35     4.27   1.95    0.11    58.68   20.39   8835.74     0.94   4.43    0.44   433.37    0.52   1232.23     0.00   0.00    0.25  2389.53    0.00   6.06
nvme29n1       215.33  12670.22     4.25   1.94    0.11    58.84   20.40   8836.17     0.95   4.44    0.44   433.10    0.52   1232.40     0.00   0.00    0.25  2389.48    0.00   6.06
nvme2n1        214.22  12648.20     4.26   1.95    0.11    59.04   20.78   8836.29     1.01   4.63    0.43   425.24    0.52   1232.18     0.00   0.00    0.26  2388.81    0.00   6.08
nvme30n1       216.15  12667.29     4.27   1.94    0.11    58.60   20.40   8835.67     0.94   4.39    0.44   433.21    0.52   1232.32     0.00   0.00    0.25  2389.37    0.00   6.07
nvme31n1       215.42  12628.96     4.27   1.94    0.11    58.63   20.39   8835.44     0.95   4.43    0.44   433.41    0.52   1232.18     0.00   0.00    0.25  2389.57    0.00   6.06
nvme3n1        214.91  12649.96     4.25   1.94    0.11    58.86   20.74   8835.47     0.99   4.57    0.43   426.04    0.52   1232.08     0.00   0.00    0.26  2389.25    0.00   6.07
nvme4n1        214.39  12625.53     4.29   1.96    0.11    58.89   20.67   8835.22     0.98   4.53    0.43   427.53    0.52   1232.00     0.00   0.00    0.26  2389.68    0.00   6.07
nvme5n1        214.94  12668.81     4.28   1.95    0.11    58.94   20.50   8835.06     0.96   4.50    0.44   431.02    0.52   1231.91     0.00   0.00    0.26  2389.51    0.00   6.08
nvme6n1        213.75  12544.20     4.27   1.96    0.11    58.69   20.59   8836.35     0.99   4.58    0.43   429.07    0.52   1231.93     0.00   0.00    0.26  2389.78    0.00   6.06
nvme7n1        213.98  12619.81     4.26   1.95    0.11    58.98   20.47   8835.76     0.97   4.50    0.44   431.55    0.52   1231.95     0.00   0.00    0.25  2389.46    0.00   6.07
nvme8n1        214.51  12648.86     4.29   1.96    0.11    58.97   20.54   8835.56     0.96   4.47    0.44   430.18    0.52   1232.05     0.00   0.00    0.25  2389.39    0.00   6.07
nvme9n1        214.57  12637.21     4.26   1.95    0.11    58.90   20.45   8836.35     0.96   4.47    0.44   432.19    0.52   1232.00     0.00   0.00    0.25  2389.64    0.00   6.08


Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz  aqu-sz  %util
dm-0           122.60   2661.60     0.00   0.00    0.25    21.71    3.20     12.80     0.00   0.00    0.00     4.00    0.00      0.00     0.00   0.00    0.00     0.00    0.03   2.24
