campaign	cell	workload	distribution	mode	point	ops_per_sec	micros_per_op	filter_per_lookup	filter_probes	positive_lookup_pct	gets	found_keys	bloom_useful	bloom_full_positive	bloom_true_positive	filter_block_miss	filter_block_hit	p50_us	p99_us	p999_us	sst_read_count	compact_write_GB	run_seconds	drain_seconds	total_seconds_incl_drain	elapsed_sec	fixed_ops	copy_mode	dropped_caches	cache_GiB	num_keys	source_ssts	source_db	finished_at
eval_20260912_f2ycsb	E7-zstd_f2load__workloadf	workloadf		f2load	E7-zstd	550311	87.218	7.826	1292103294	86.43	165112649	142700254	1195458582	96644712	85001377	20057	1292097472	73.30	515.97	1089.99	70422613	736.91				304.0				50	1048576000	5805	/work/vcomp/exp/eval_20260909_night1/E7-zstd_f2load	2026-09-12T12:32:49.172205+00:00
eval_20260912_f2ycsb	P0-r1_f2load__workloada	workloada		f2load	P0-r1	678630	70.728	8.849	900834783	86.75	101800287	88310029	840879372	59955411	51764652	30878	900822273	74.18	491.63	845.72	46380135	729.27				305.5				50	1048576000	12470	/work/vcomp/exp/eval_20260909_night1/P0-r1_f2load	2026-09-12T09:03:03.114679+00:00
eval_20260912_f2ycsb	P0-r1_f2load__workloadb	workloadb		f2load	P0-r1	1023589	46.890	4.090	1193322087	83.52	291761775	243690716	1035142229	158179858	148112249	16834	1193309583	65.09	159.82	599.12	77436088	151.98				304.7				50	1048576000	12470	/work/vcomp/exp/eval_20260909_night1/P0-r1_f2load	2026-09-12T09:08:08.546219+00:00
eval_20260912_f2ycsb	P0-r1_f2load__workloadc	workloadc		f2load	P0-r1	929071	51.662	3.682	1026225297	63.05	278750213	175741251	841878507	184346790	175741251	12481	1026212816	73.17	109.54	161.46	63213099	0.00				304.6				50	1048576000	12470	/work/vcomp/exp/eval_20260909_night1/P0-r1_f2load	2026-09-12T09:13:13.828239+00:00
eval_20260912_f2ycsb	P0-r1_f2load__workloadd	workloadd		f2load	P0-r1	2673872	17.950	1.015	773314630	92.11	762162017	702014408	446685958	326628672	322342363	13232	773302099	41.55	109.19	238.30	112201134	1.80				304.6				50	1048576000	12470	/work/vcomp/exp/eval_20260909_night1/P0-r1_f2load	2026-09-12T09:18:19.055347+00:00
eval_20260912_f2ycsb	P0-r1_f2load__workloade	workloade		f2load	P0-r1	109103	439.918						0	0	0	38	0	70.15	800.72	811.00	132174748	0.47				304.5				50	1048576000	12470	/work/vcomp/exp/eval_20260909_night1/P0-r1_f2load	2026-09-12T09:23:24.203736+00:00
eval_20260912_f2ycsb	P0-r1_f2load__workloadf	workloadf		f2load	P0-r1	563737	85.142	7.909	1337767870	86.42	169140351	146169023	1238730066	99037804	86974019	29037	1337755338	73.30	469.15	843.77	72349097	644.85				304.7				50	1048576000	12470	/work/vcomp/exp/eval_20260909_night1/P0-r1_f2load	2026-09-12T09:28:29.463973+00:00
eval_20260912_ycsb_af	E2-4T_baseline__workloada	workloada		baseline	E2-4T	570362	84.156	8.031	687149075	85.68	85558540	73302452	639289653	47859422	41635848	62367	687101205	75.09	505.94	825.09	38763611	824.07				308.3				50	4294967296	47740	/work/vcomp/exp/eval_20260909_night1/E2-4T_baseline	2026-09-11T22:26:49.218919+00:00
eval_20260912_ycsb_af	E2-4T_baseline__workloadb	workloadb		baseline	E2-4T	984408	48.757	4.111	1153456230	82.71	280591276	232090109	1005003094	148453136	138674576	51147	1153408314	68.65	164.46	553.03	78470814	181.90				308.0				50	4294967296	47740	/work/vcomp/exp/eval_20260909_night1/E2-4T_baseline	2026-09-11T22:31:59.886006+00:00
eval_20260912_ycsb_af	E2-4T_baseline__workloadc	workloadc		baseline	E2-4T	1279469	37.513	4.139	1588982168	62.59	383882039	240273681	1337504231	251477937	240273681	47934	1588934234	73.54	166.81	249.91	93221597	0.00				307.8				50	4294967296	47740	/work/vcomp/exp/eval_20260909_night1/E2-4T_baseline	2026-09-11T22:37:10.289943+00:00
