system	bitmap	workload	arm	operations	throughput_ops_sec	filter_checks_per_lookup	positive_lookup_pct	compaction_write_per_op
F2Load PLR	off	E	f12	32080666.0	106925.0			
F2Load PLR	off	E	f13	31649175.0	105488.0			
F2Load PLR	off	E	f14	31812807.0	106035.0			
F2Load PLR	off	E	f15	31904859.0	106340.0			
F2Load exact membership	on	E	e01	31547666.0	105149.0			
F2Load exact membership	on	E	e02	31184626.0	103940.0			
F2Load exact membership	on	E	e03	31496522.0	104977.0			
F2Load exact membership	on	E	e04	31339972.0	104453.0			
F2Load exact membership	on	E	e05	31342389.0	104466.0			
F2Load exact membership	on	E	e06	31636572.0	105447.0			
F2Load exact membership	on	E	e07	31470977.0	104890.0			
F2Load exact membership	on	E	e08	31577453.0	105248.0			
F2Load exact membership	on	E	e09	31592362.0	105298.0			
F2Load exact membership	on	E	e10	31540540.0	105126.0			
baseline	n/a	F	b01	180228954.0	600723.0	6.9936	86.509	4192.4
baseline	n/a	F	b02	181167125.0	603846.0	7.0388	86.518	4193.7
baseline	n/a	F	b03	180586211.0	601894.0	7.1972	86.512	4170.4
baseline	n/a	F	n01	182303027.0	607633.0	7.0259	86.529	4213.6
baseline	n/a	F	n02	181121530.0	603694.0	6.9531	86.517	4212.5
baseline	n/a	F	n03	182141082.0	607068.0	6.9767	86.527	4221.9
baseline	n/a	F	n04	183151960.0	610443.0	7.1214	86.537	4150.3
baseline	n/a	F	r01	181378015.0	604523.0	7.244	86.52	4137.0
baseline	n/a	F	r02	179934627.0	599723.0	7.0866	86.506	4143.8
baseline	n/a	F	run3	181950739.0	606455.0	6.9691	86.525	4172.6
F2Load PLR	off	F	f01	180582364.0	601883.0	6.91	86.489	4268.2
F2Load PLR	off	F	f02	178982587.0	596538.0	7.3708	86.468	4189.7
F2Load PLR	off	F	f03	179777379.0	599211.0	7.109	86.472	4230.8
F2Load PLR	off	F	f04	179447271.0	598098.0	7.2827	86.48	4169.8
F2Load PLR	off	F	f05	178338496.0	594417.0	6.9275	86.464	4276.7
F2Load PLR	off	F	f06	180306180.0	600962.0	6.8471	86.496	4255.6
F2Load PLR	off	F	f07	179357720.0	597808.0	6.8929	86.484	4285.8
F2Load PLR	off	F	f08	179034357.0	596718.0	6.7965	86.496	4295.3
F2Load PLR	off	F	f09	182014945.0	606675.0	6.9649	86.492	4240.3
F2Load PLR	off	F	f10	179258801.0	597476.0	7.0109	86.481	4223.4
F2Load PLR	off	F	f11	180295867.0	600932.0	6.7742	86.492	4342.2
F2Load PLR	off	F	f12	179391307.0	597920.0	6.8519	86.49	4289.4
F2Load PLR	off	F	f13	179936994.0	599721.0	7.0319	86.481	4251.1
F2Load PLR	off	F	f14	180604298.0	601958.0	7.0396	86.501	4258.7
F2Load PLR	off	F	f15	180935892.0	603061.0	7.1215	86.506	4210.5
F2Load exact membership	on	F	e01	178950017.0	596456.0	6.9391	86.383	4323.0
F2Load exact membership	on	F	e02	178790411.0	595920.0	7.0354	86.378	4314.7
F2Load exact membership	on	F	e03	178227869.0	594039.0	6.9982	86.378	4307.0
F2Load exact membership	on	F	e04	179591454.0	598586.0	7.0747	86.384	4300.6
F2Load exact membership	on	F	e05	179290096.0	597591.0	7.2529	86.38	4204.5
F2Load exact membership	on	F	e06	178355281.0	594461.0	6.9272	86.374	4343.2
F2Load exact membership	on	F	e07	178473103.0	594868.0	6.9508	86.384	4329.4
F2Load exact membership	on	F	e08	178440289.0	594759.0	7.0474	86.366	4344.4
F2Load exact membership	on	F	e09	177952529.0	593118.0	6.9599	86.386	4328.8
F2Load exact membership	on	F	e10	179358724.0	597801.0	7.2084	86.388	4225.0
baseline	n/a	mixgraph	b01	194122612.0	646996.0	4.06696	79.4824	92.0207
baseline	n/a	mixgraph	b02	196792183.0	655895.0	4.03198	79.5721	83.4176
baseline	n/a	mixgraph	b03	197514943.0	658289.0	4.07392	79.596	93.1497
baseline	n/a	mixgraph	n01	196814722.0	655971.0	4.09163	79.5727	90.6278
baseline	n/a	mixgraph	n02	194337072.0	647706.0	4.01782	79.4898	107.4172
baseline	n/a	mixgraph	n03	197342428.0	657715.0	4.02021	79.5906	84.4055
baseline	n/a	mixgraph	n04	196717030.0	655629.0	4.01655	79.5695	86.8283
baseline	n/a	mixgraph	r01	193680625.0	645512.0	4.17367	79.4679	88.7752
baseline	n/a	mixgraph	r02	194758994.0	649130.0	4.18232	79.5042	93.4527
baseline	n/a	mixgraph	run3	194040174.0	646727.0	4.11571	79.4797	94.591
F2Load PLR	off	mixgraph	g01	178402218.0	594619.0	4.1227	83.0602	104.0459
F2Load PLR	off	mixgraph	g02	182201981.0	607271.0	4.05514	82.5676	107.891
F2Load PLR	off	mixgraph	g03	181118215.0	603659.0	4.06904	82.531	98.9228
