job	plr_error	output_level	plr_segments	actual_output_files	predicted_output_files	output_file_delta	actual_entries	predicted_entries	entry_error_pct	rank_ks	rank_count_sup	boundary_mass_error
1377	8	0	2677	1	1	0	258287	258312	0.009679155358186824	0.0009135489531107041	0.000987273846535056	9.679155358186823e-05
1388	8	0	2707	1	1	0	258279	258309	0.011615346195393353	0.0008828338960495266	0.0009640737342176483	0.00011615346195393353
1405	8	0	2707	1	1	0	258298	258311	0.0050329464417068655	0.0006976583418729108	0.0007278414854160698	5.032946441706866e-05
1419	8	0	2669	1	1	0	258290	258313	0.008904719501335707	0.0008269789452660644	0.0008556273955631267	8.904719501335708e-05
1431	8	1	45079	47	46	-1	4334696	4335624	0.021408652417608986	0.00017831042708355845	0.00033843203767922823	5.13373751916206e-05
1435	8	0	2693	1	1	0	258281	258310	0.011228081043514622	0.0012289647835558362	0.0012350889147866083	0.00011228081043514621
1448	8	0	2629	1	1	0	258290	258313	0.008904719501335707	0.0011240565320364394	0.0011885864725695923	8.904719501335708e-05
1468	8	2	1371	3	3	0	135064	135089	0.018509743528993663	0.0010613143762037217	0.0012068352780903867	0.0001505459140358151
1469	8	2	1355	3	3	0	126934	126979	0.03545149447744497	0.001344386897359333	0.0015441095372398254	0.0001181716482581499
1470	8	2	673	2	2	0	64962	65034	0.11083402604599613	0.0019526116453969346	0.002601520889135187	0.0005310797081370647
1471	8	2	1840	2	2	0	182065	181773	-0.1603822810534699	0.0009928065015019387	0.002026748688655151	0.0008101502210748907
1472	8	2	1891	2	2	0	182659	183172	0.2808512036089106	0.0008217656527379525	0.0031424676583141262	0.0013878319710498798
1473	8	2	1898	2	2	0	181772	181436	-0.1848469511255859	0.008961808553169987	0.008884756728208964	0.0009324868516603216
1474	8	2	1885	2	2	0	181505	181670	0.0909065865954106	0.011053484789105904	0.011107132034930167	0.0004820803834605107
1475	8	2	1401	2	2	0	131630	131428	-0.1534604573425511	0.001479392474704506	0.0025374154827926764	0.0007711008128846008
1476	8	2	1079	2	2	0	104717	104646	-0.06780178958526314	0.0022189311485633864	0.0022727923832806516	0.0004965764871033356
1477	8	2	2203	4	4	0	214960	215380	0.19538518794194268	0.0007387294776392133	0.002544659471529587	0.00048381094157052477
1478	8	2	2549	5	4	-1	251170	251643	0.18831866863080782	0.0010542559028742249	0.0021340128200023887	0.0005247441971573039
1479	8	2	1967	3	3	0	188911	188573	-0.17892023227869208	0.0013234159043386273	0.002567346528259339	0.0008046116954544732
1480	8	2	1558	3	4	1	153733	153470	-0.17107582627022175	0.0014117103954875733	0.0024132749637358277	0.0005789257999258455
1481	8	2	2503	4	4	0	238580	239055	0.19909464330622853	0.0008448583837351202	0.0023807527873250063	0.0005155503395087602
1482	8	2	2481	5	5	0	239025	238912	-0.04727538960359795	0.0007964135493237509	0.0010710176759753164	0.0002995502562493463
1483	8	2	825	3	2	-1	78357	78499	0.18122184361320623	0.0012661131830690457	0.0022971782993223325	0.0005998187781563867
1484	8	2	2619	4	4	0	250785	251227	0.17624658572083657	0.0011085300266562065	0.002085451681719401	0.0004964411747114062
1485	8	2	2621	4	5	1	250629	250840	0.08418818253274761	0.0014132438479252793	0.0018593219459839044	0.0002164553982180833
