system	arm	workload	operations	throughput_ops_sec	filter_checks_per_lookup	positive_lookup_pct	compaction_write_per_op
F2Load PLR	f04	D	809853130	2699250.0	0.9258	92.039	
F2Load PLR	f05	D	796242383	2653919.0	1.0529	91.975	
F2Load PLR	f06	D	797897972	2659436.0	1.0277	91.986	
F2Load PLR	f07	D	793518750	2644866.0	1.0556	91.988	
F2Load PLR	f08	D	789988316	2633056.0	1.0829	92.003	
F2Load PLR	f09	D	783541045	2611562.0	1.12	91.942	
F2Load PLR	f10	D	819480067	2731411.0	0.8591	92.022	
F2Load PLR	f11	D	793064528	2643344.0	1.087	92.004	
F2Load PLR	f12	D	800830815	2669259.0	1.023	92.043	
F2Load PLR	f13	D	794391998	2647713.0	1.0666	91.967	
F2Load PLR	f14	D	798399160	2661090.0	1.0442	91.987	
F2Load PLR	f15	D	786452225	2621278.0	1.0483	91.968	
F2Load exact membership	e01	D	804247471	2680608.0	0.9864	92.055	
F2Load exact membership	e02	D	801261178	2670627.0	1.0092	92.041	
F2Load exact membership	e03	D	793086056	2643326.0	1.0965	92.017	
F2Load exact membership	e04	D	781157802	2603625.0	1.189	91.996	
F2Load exact membership	e05	D	814514181	2714738.0	0.8442	92.072	
F2Load exact membership	e06	D	815351640	2717593.0	0.9127	92.074	
F2Load exact membership	e07	D	805086988	2683407.0	0.9821	92.052	
